iName,iNum,Cap,Inv,Sold,Price,Sales,Cost,Profit
,,,,,,,,
Plantain Chips Lime,0111,7,7,0,0.00,0.00,0.55,0.00
Plantain Chips Orig,0113,7,5,2,1.75,3.50,0.55,2.40
Plantain Chips Sweet,0115,7,7,0,0.00,0.00,0.55,0.00
Honey Buns,0117,7,4,3,1.60,4.80,0.58,3.06
,,,,,,,,
Lays Orig,0121,7,3,4,1.35,5.40,0.40,3.80
Lays Orig,0123,7,7,0,0.00,0.00,0.40,0.00
Funyuns,0125,7,7,0,0.00,0.00,0.40,0.00
Litte Debbie Little Brownies,0127,7,6,1,1.00,1.00,0.50,0.50
,,,,,,,,
Milano Cookies,0130,14,14,0,0.00,0.00,0.40,0.00
Hersey's Chocolate Bar,0131,14,8,6,1.50,9.00,0.98,3.12
Wafer Chocolate,0132,14,14,0,0.00,0.00,0.30,0.00
Wafer Vanilla,0133,14,14,0,0.00,0.00,0.30,0.00
Chips Ahoy Cookies,0134,14,14,0,0.00,0.00,0.50,0.00
Cashews,0135,14,14,0,0.00,0.00,0.45,0.00
Almonds,0136,14,12,2,1.30,2.60,0.45,1.70
Peanuts,0137,14,14,0,0.00,0.00,0.45,0.00
,,,,,,,,
Sunkist,0140,15,15,0,0.00,0.00,0.45,0.00
Coca Cola,0141,15,14,1,1.70,1.70,0.33,1.37
Sprite,0142,15,12,3,1.50,4.50,0.33,3.51
Jupiña,0143,15,10,5,1.54,7.70,0.45,5.45
Materva,0144,15,7,8,1.55,12.40,0.45,8.80
Juice Guava,0145,15,15,0,0.00,0.00,0.50,0.00
Juice Mango,0146,15,15,0,0.00,0.00,0.33,0.00
